Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave
2.5E+17,240,2118.34424,2118.34424,536.076172,1590.92151,-318.133179,-318.133179,-344.095062,-326.78714,7.81E-03,7.81E-03,1.98E-03,5.87E-03,528.866638,528.866638,133.836975,397.190094,2.14E-04,2.14E-04,6.35E-05,1.70E-04
5E+17,240,4022.86377,4022.86377,1031.5957,3025.77441,-263.417847,-263.417847,-288.444305,-271.76001,1.52E-02,1.52E-02,3.89E-03,1.14E-02,502.174805,502.174805,128.774277,377.707977,2.79E-04,2.79E-04,8.58E-05,2.23E-04
7.5E+17,240,5777.31982,5777.31982,1497.86658,4350.83545,-233.077621,-233.077621,-257.323944,-241.159729,2.24E-02,2.24E-02,5.76E-03,1.68E-02,480.789276,480.789276,124.652634,362.077057,3.14E-04,3.14E-04,9.92E-05,2.53E-04
1E+18,240,7419.15625,7419.15625,1941.67432,5593.32861,-212.472397,-212.472397,-236.044266,-220.329697,2.93E-02,2.93E-02,7.58E-03,2.21E-02,463.067322,463.067322,121.189781,349.108154,3.35E-04,3.35E-04,1.08E-04,2.72E-04
2.5E+18,240,15908.5557,15908.5557,4335.93018,12051.0146,-153.096008,-153.096008,-174.086517,-160.09285,6.83E-02,6.83E-02,1.80E-02,5.16E-02,397.173584,397.173584,108.250999,300.866058,3.73E-04,3.73E-04,1.31E-04,3.09E-04
5E+18,240,27676.8379,27676.8379,7887.40381,21080.3594,-116.117569,-116.117569,-133.907089,-122.047401,0.127797067,0.127797067,3.47E-02,9.68E-02,345.490479,345.490479,98.4586029,263.146515,3.73E-04,3.73E-04,1.41E-04,3.14E-04
7.5E+18,240,38564.1914,38564.1914,11306.1807,29478.1875,-98.1376419,-98.1376419,-113.238136,-103.171143,0.183664992,0.183664992,5.10E-02,0.139448106,320.931671,320.931671,94.0901718,245.317825,3.71E-04,3.71E-04,1.45E-04,3.14E-04
1E+19,240,49418.8906,49418.8906,14742.374,37860.0508,-85.9295578,-85.9295578,-99.3086777,-90.3892593,0.238908678,0.238908678,6.76E-02,0.181818351,308.448456,308.448456,92.0146637,236.303848,3.65E-04,3.65E-04,1.45E-04,3.09E-04
2.5E+19,240,110382.039,110382.039,34583.375,85115.8203,-53.8232727,-53.8232727,-62.03368,-56.5600739,0.566687465,0.566687465,0.169446811,0.434273928,275.5802,275.5802,86.3409805,212.500473,3.20E-04,3.20E-04,1.33E-04,2.72E-04
5E+19,240,198796.094,198796.094,64716.6562,154102.953,-35.5268898,-35.5268898,-41.1693459,-37.407711,1.06378627,1.06378627,0.329100728,0.818891048,248.157516,248.157516,80.7859192,192.366989,2.51E-04,2.51E-04,1.10E-04,2.16E-04
7.5E+19,240,278777.75,278777.75,89829.7969,215795.109,-27.8354988,-27.8354988,-32.0515289,-29.2408428,1.530231,1.530231,0.474352688,1.17827153,231.999176,231.999176,74.7564697,179.584946,2.16E-04,2.16E-04,9.23E-05,1.85E-04
1E+20,240,350548.812,350548.812,113562.688,271553.438,-24.0732594,-24.0732594,-27.9029217,-25.3498135,1.95205188,1.95205188,0.614222348,1.50610876,218.795364,218.795364,70.8802567,169.490326,2.03E-04,2.03E-04,8.84E-05,1.75E-04
2.5E+20,240,746472.5,746472.5,313777.25,602240.75,-25.3893795,-25.3893795,-40.5041389,-30.4276333,4.23053455,4.23053455,1.6641221,3.37506366,186.364594,186.364594,78.3377457,150.355637,4.81E-04,4.81E-04,5.15E-04,5.58E-04
5E+20,240,1367868,1367868,689209.125,1141648.38,-20.4776421,-20.4776421,-28.0718994,-23.0090618,7.73746729,7.73746729,3.75335097,6.40942812,170.751205,170.751205,86.0341034,142.512161,5.74E-04,5.74E-04,5.43E-04,6.04E-04
7.5E+20,240,1953566.5,1953566.5,1124320.75,1677151.38,-18.5638103,-18.5638103,-24.546524,-20.5580482,10.9746199,10.9746199,5.82709074,9.25877666,162.576035,162.576035,93.5661087,139.572723,6.73E-04,6.73E-04,6.77E-04,7.09E-04
1E+21,240,2507505.5,2507505.5,1451177.62,2155396.25,-15.8616848,-15.8616848,-16.961359,-16.2282429,14.1613092,14.1613092,7.72781372,12.0168104,156.506195,156.506195,90.575386,134.529251,6.31E-04,6.31E-04,4.17E-04,5.68E-04
1E+16,260,76.4406204,76.4406204,19.3170471,57.3994293,-605.02301,-605.02301,-630.425354,-613.490479,3.08E-04,3.08E-04,7.86E-05,2.32E-04,477.104797,477.104797,120.56752,358.259033,2.80E-05,2.80E-05,7.68E-06,2.16E-05
2.5E+16,260,190.222351,190.222351,48.1252518,142.856644,-526.277588,-526.277588,-551.644592,-534.733215,7.66E-04,7.66E-04,1.96E-04,5.76E-04,474.909821,474.909821,120.149681,356.656464,5.27E-05,5.27E-05,1.46E-05,4.08E-05
5E+16,260,378.078522,378.078522,95.7979813,283.985016,-467.106323,-467.106323,-492.357361,-475.523346,1.53E-03,1.53E-03,3.90E-04,1.15E-03,471.956085,471.956085,119.584785,354.498993,8.25E-05,8.25E-05,2.32E-05,6.42E-05
7.5E+16,260,563.834167,563.834167,143.071686,423.579987,-432.702179,-432.702179,-457.845673,-441.083344,2.28E-03,2.28E-03,5.84E-04,1.72E-03,469.223511,469.223511,119.06443,352.503815,1.06E-04,1.06E-04,3.00E-05,8.24E-05
1E+17,260,747.418091,747.418091,189.932388,561.589539,-408.330536,-408.330536,-433.371307,-416.67746,3.03E-03,3.03E-03,7.75E-04,2.28E-03,466.501709,466.501709,118.546478,350.516632,1.25E-04,1.25E-04,3.57E-05,9.75E-05
2.5E+17,260,1813.04834,1813.04834,464.273712,1363.45679,-332.318817,-332.318817,-356.803101,-340.480255,7.47E-03,7.47E-03,1.92E-03,5.62E-03,452.646301,452.646301,115.910744,340.401123,2.00E-04,2.00E-04,5.91E-05,1.58E-04
5E+17,260,3473.56152,3473.56152,899.241638,2615.45483,-277.056976,-277.056976,-300.714661,-284.942871,1.46E-02,1.46E-02,3.78E-03,1.10E-02,433.605316,433.605316,112.252502,326.487701,2.67E-04,2.67E-04,8.13E-05,2.12E-04
