T [K],(k/t)_xx [W/m.K.ps],(k/t)_yy [W/m.K.ps],(k/t)_zz [W/m.K.ps],(k/t)_yz [W/m.K.ps],(k/t)_xz [W/m.K.ps],(k/t)_xy [W/m.K.ps],(k/t)_iso [W/m.K.ps],(t^CRTA)_xx [ps],(t^CRTA)_yy [ps],(t^CRTA)_zz [ps],(t^CRTA)_yz [ps],(t^CRTA)_xz [ps],(t^CRTA)_xy [ps],(t^CRTA)_iso [ps],k_xx [W/m.K],k_yy [W/m.K],k_zz [W/m.K],k_yz [W/m.K],k_xz [W/m.K],k_xy [W/m.K],k_iso [W/m.K]
120.0,0.36938428518405786,0.18554274240229565,0.4394723690625152,-3.291628751903494e-19,0.0,0.0,0.33146646554962284,10.715357573997387,12.14499365816513,12.214183160075125,18.404765283476504,0.0,0.0,11.644512432631231,3.9580846979626054,2.253415429794447,5.367796009521693,-6.058165457912652e-18,0.0,0.0,3.859765379092915
130.0,0.3767948370146124,0.18967029407810906,0.44766036306473245,-3.3125977123184587e-19,0.0,0.0,0.33804183138581795,9.731251284187149,11.025771144165814,11.076339448778764,16.769110687346124,0.0,0.0,10.567118860272023,3.6666852415735347,2.091261255351859,4.95843813906852,-5.554931770051779e-18,0.0,0.0,3.572128211997972
140.0,0.38286884770085394,0.19307686941278887,0.45437417946356273,-3.3294672054580337e-19,0.0,0.0,0.34343996552573514,8.92040641293528,10.104299572428985,10.14098974416901,15.409967049407243,0.0,0.0,9.6805430822865,3.415345724343839,1.9509065290535699,4.607803893955199,-5.130697992819032e-18,0.0,0.0,3.3246853824508698
150.0,0.38789931599109007,0.1959140708088105,0.4599364697122523,-3.3432271794483726e-19,0.0,0.0,0.34791661883738434,8.239787353308289,9.331315947567989,9.357536996547214,14.261573555741702,0.0,0.0,8.937214644624618,3.19620787826032,1.8281360932912174,4.3038725313937185,-4.767968033325783e-18,0.0,0.0,3.1094055009817523
160.0,0.39210585711721935,0.19829756718130495,0.4645891716667329,-3.3545893882978446e-19,0.0,0.0,0.35166419865508575,7.659651234919582,8.672803841748472,8.691041789096948,13.277616695333808,0.0,0.0,8.304280005726724,3.0033941126871104,1.7197959024593974,4.037763905717512,-4.454095206805309e-18,0.0,0.0,2.9203179736213394
170.0,0.3956548503264626,0.20031623676357818,0.4685156617278987,-3.3640750981871783e-19,0.0,0.0,0.35482891627264646,7.158770686870265,8.104508733168204,8.11660125841875,12.424530015127148,0.0,0.0,7.758313434733954,2.8324023446351227,1.623464690245809,3.8027548095695565,-4.179705203056841e-18,0.0,0.0,2.7528739481501625
180.0,0.3986737203828571,0.2020389334312958,0.4718564492399907,-3.372072525267582e-19,0.0,0.0,0.3575230343513812,6.721576893099844,7.608657886463507,7.615980587809229,11.677380675926994,0.0,0.0,7.282151542907482,2.6797160668115607,1.5372451242247043,3.59364955764436,-3.9376974544384e-18,0.0,0.0,2.6035369162268753
190.0,0.40126110465592707,0.20351946085632122,0.47472035003031415,-3.3788752411099805e-19,0.0,0.0,0.3598336385141875,6.336381201613076,7.171919390767433,7.17551396336624,11.017251490410612,0.0,0.0,6.862922376316244,2.5425433204803136,1.4596251677139835,3.406362500336628,-3.7225918286030446e-18,0.0,0.0,2.469510329510308
200.0,0.4034941451583228,0.2048002296688061,0.4771925029114284,-3.3847083537897554e-19,0.0,0.0,0.3618289592461858,5.994229016241331,6.784087697925233,6.784751403724358,10.429521625881238,0.0,0.0,6.490775411374378,2.4186363127915103,1.3893827186284096,3.2376325039750538,-3.530088897315114e-18,0.0,0.0,2.3485505117983245
210.0,0.4054337659607334,0.20591495687423222,0.47934017402291035,-3.3897466784102866e-19,0.0,0.0,0.36356296561929197,5.688138459645067,6.437211127367158,6.435560103731893,9.902705951982165,0.0,0.0,6.158038252786094,2.3061633969999846,1.3255180516821363,3.0848225000577445,-3.3567664608005316e-18,0.0,0.0,2.2388346495799554
