T [K],(k/t)_xx [W/m.K.ps],(k/t)_yy [W/m.K.ps],(k/t)_zz [W/m.K.ps],(k/t)_yz [W/m.K.ps],(k/t)_xz [W/m.K.ps],(k/t)_xy [W/m.K.ps],(k/t)_iso [W/m.K.ps],(t^CRTA)_xx [ps],(t^CRTA)_yy [ps],(t^CRTA)_zz [ps],(t^CRTA)_yz [ps],(t^CRTA)_xz [ps],(t^CRTA)_xy [ps],(t^CRTA)_iso [ps],k_xx [W/m.K],k_yy [W/m.K],k_zz [W/m.K],k_yz [W/m.K],k_xz [W/m.K],k_xy [W/m.K],k_iso [W/m.K]
190.0,0.7212264950952522,0.40162295906243184,0.859251271147287,-1.7871346181876035e-19,-1.4940928504128136e-17,-1.4575080575415183e-36,0.6607002417683238,4.121150781409593,5.37100747196071,6.020385982861603,24.57715811074874,7.432296493335023,-4.567321730358343,5.197731490086799,2.9722831338351003,2.1571199140352917,5.173024308571142,-4.392269007638931e-18,-1.1104541052840084e-16,6.656908223381755e-36,3.434142452147178
200.0,0.731172877578417,0.4077334702011948,0.8693839712306745,-1.7507799364587702e-19,-1.510037407998614e-17,-1.5001036060597954e-36,0.669430106336762,3.861838283545605,5.020337658877523,5.637085415182295,23.705047384529312,6.9600748641813075,-4.090867328795259,4.865542953466809,2.8236714105225347,2.046959695235875,4.900791704417698,-4.150232135363837e-18,-1.0509973407384645e-16,6.136724831837971e-36,3.2571409367253694
210.0,0.7399131037612581,0.4131283420767141,0.8782893863802042,-1.7184628956482434e-19,-1.5240696997951155e-17,-1.537515251410249e-36,0.6771102774060587,3.6346455128724138,4.714482016961677,5.3015694723512,22.891971872746193,6.546424974086972,-3.699796325764018,4.5749909533418744,2.689321842501357,1.9476861394178608,4.656312198723358,-3.933900427153757e-18,-9.977207944987979e-17,5.68849327797378e-36,3.097773393547526
220.0,0.7476275476758243,0.4179096587086835,0.8861509163856702,-1.6896557084044438e-19,-1.5364719469522715e-17,-1.570518049950487e-36,0.6838960409233927,3.433865714279966,4.44529847891259,5.005343878550176,22.13100182884672,6.181013875935718,-3.3740802663284266,4.3186270562579905,2.567252603015224,1.8577331701805906,4.435490064802644,-3.739377357282005e-18,-9.49695442409796e-17,5.299053960250541e-36,2.953491945999486
230.0,0.7544654706086511,0.422163016372911,0.8931203166451015,-1.6639033419410377e-19,-1.5474784362491273e-17,-1.5997543616489056e-36,0.6899162678755546,3.2550695905178353,4.206494163933339,4.74180777874413,21.416577113321306,5.8557901686348774,-3.0993019655440803,4.090674542273804,2.4558376104739477,1.7758262646011451,4.235004864822163,-3.563511423179327e-18,-9.061709013162113e-17,4.958121837446169e-36,2.822222913299085
240.0,0.760550922469609,0.42596035961000506,0.8993237147470505,-1.6408147758773441e-19,-1.5572844494956302e-17,-1.6257584927846626e-36,0.6952783322755548,3.0947685466022823,3.9931338102488105,4.5057584149862,20.744132776876523,5.564393583661299,-2.864861171684242,3.8865879585798346,2.3537290729482967,1.7009167137844532,4.052135395518172,-3.403727957306052e-18,-8.665343598709001e-17,4.657572380514675e-36,2.7022603940836407
250.0,0.7659874649548112,0.4293623372144537,0.9048664177703507,-1.6200544097174904e-19,-1.5660534481019806e-17,-1.6489766571231943e-36,0.7000720733132052,2.9501783909210255,3.8012953893729633,4.29304207774856,20.109843145627188,5.301736865129835,-2.6628172737057674,3.7027436851730786,2.25979966682606,1.6321330728237025,3.884629606229723,-3.257904006680038e-18,-8.302803298565963e-17,4.390923526525235e-36,2.592187448626495
260.0,0.7708619505281193,0.4324202442732589,0.9098367545715459,-1.6013341672523544e-19,-1.5739228500901147e-17,-1.6697830771199132e-36,0.7043729831243081,2.8190504426486838,3.627824476066819,4.100303773666397,19.51044422593998,5.063704633299528,-2.487122642094672,3.5362186068068797,2.173098722857323,1.5687447461213213,3.730607078190097,-3.1242740957269107e-18,-7.969880428457312e-17,4.15295529849145e-36,2.490816849056247
270.0,0.7752475500968927,0.43517761652216785,0.9143091522435031,-1.584406502981879e-19,-1.581008679933099e-17,-1.68849295561263e-36,0.7082447729541879,2.6995487769934368,3.470156161689654,3.924804784280206,18.94310848660655,4.846933123277595,-2.333102612756638,3.3846291907316313,2.0928185757312248,1.5101342874038182,3.58848493503648,-3.001358427287064e-18,-7.663043338957124e-17,3.939427326361005e-36,2.397145932723841
280.0,0.7792061847426682,0.4376715371807039,0.9183466061516733,-1.569058339702196e-19,-1.587409318981848e-17,-1.7053729334565373e-36,0.7117414426916817,2.5901596289256266,3.3261839829579563,3.764287731706418,18.40535507549527,4.648646772326241,-2.1970952768016696,3.2460127167697013,2.018268402329623,1.455776056767045,3.4569208629909696,-2.8879075876385994e-18,-7.379305207045564e-17,3.746866817282767e-36,2.3103217740292123
290.0,0.7827904850436559,0.43993370817476696,0.9220026697839316,-1.5551058815205691e-19,-1.5932085390124115e-17,-1.720649536738151e-36,0.7149089543341182,2.4896235873180954,3.194162111269836,3.616875421094076,17.89498428833617,4.466535384255174,-2.076197224091456,3.1187384032557888,1.9488536554928586,1.4052195821222815,3.3347687945246203,-2.7828595316509755e-18,-7.116122313996426e-17,3.5724077918099986e-36,2.2296140107132536
300.0,0.7860453755361366,0.44199132926088464,0.9253230638281859,-1.5423902108372746e-19,-1.598477964066473e-17,-1.734516018950007e-36,0.7177865895417357,2.39688418894661,3.0726314261737433,3.480994053167925,17.41002883617483,4.298660670239808,-1.9680810019075101,3.00144005540322,1.884059732417166,1.3580764483833005,3.2210440824450397,-2.6853058047310727e-18,-6.871314356377547e-17,3.413668024399756e-36,2.1543934210818354
310.0,0.7890093610871526,0.4438678209079291,0.9283469825837157,-1.5307735679391318e-19,-1.603279075590402e-17,-1.747137921413986e-36,0.7204080548595991,2.3110484809459777,2.960362978630008,3.355314260199362,16.94871689619975,4.1433843385239495,-1.870862027721512,2.892964423294028,1.8234388853926204,1.3140098644210079,3.11489586907619,-2.594464783518594e-18,-6.643001412084427e-17,3.268653994365718e-36,2.084114872963273
320.0,0.7917155755480549,0.44558342017860636,0.9311081590547494,-1.5201362148740005e-19,-1.6076648518451433e-17,-1.7586576085349682e-36,0.7228023849271368,2.231356432001139,2.8563142789547493,3.238705342424504,16.509443539585526,3.99931218534946,-1.783000187048958,2.7923311741019963,1.7665996418146361,1.2727262855216472,3.0155849691056615,-2.509660301194156e-18,-6.429553631942317e-17,3.135686844972922e-36,2.018303632147315
330.0,0.7941926401955026,0.44715567331671957,0.9336357369679602,-1.5103737941612836e-19,-1.611681113562073e-17,-1.7691979811273918e-36,0.7249946834933941,2.1571569649905857,2.7595951560890533,3.1301993959261907,16.09074820085075,3.8652502034998513,-1.703226136338005,2.698701553246284,1.7131981853419906,1.2339686301025585,2.9224660198722128,-2.43030444110128e-18,-6.22955075217267e-17,3.0133442418126064e-36,1.9565442784389209
340.0,0.7964653694129593,0.4485998441972632,0.9359549877293674,-1.5013951038638482e-19,-1.6153676328661513e-17,-1.7788655287973768e-36,0.7270067337798634,2.0878890001242745,2.669440839814663,3.0289629335253547,15.691296571779183,3.7401698127976672,-1.6304854529688917,2.61135361808854,1.6629312837772345,1.1975107448346691,2.834972965280432,-2.355883584614485e-18,-6.041749257016405e-17,2.9004143674919383e-36,1.8984716646307787
350.0,0.7985553532161141,0.44992925410109674,0.9380879023609004,-1.4931202216583394e-19,-1.618759050737351e-17,-1.787752849046101e-36,0.728857503226037,2.0230663292070434,2.585190550420044,2.934274239681639,15.30986578892452,3.623180083556378,-1.5638958468797386,2.5296624946721282,1.615530447099558,1.1631528560596942,2.752607166454575,-2.285947020031841e-18,-5.865055552708199e-17,2.7958592558706176e-36,1.8437634898712758
360.0,0.800481440093545,0.4511555652945394,0.9400536822315093,-1.4854789208647688e-19,-1.6218856390492566e-17,-1.7959407345504904e-36,0.7305635625398647,1.9622654478203194,2.5062703285753285,2.8455051551408888,14.945332114969181,3.5135053708419908,-1.5027140469320448,2.453084510353338,1.5707570715170145,1.1307178068693333,2.6749275988989347,-2.2200975822109993e-18,-5.698503903691058e-17,2.6987853692664767e-36,1.792134159095094
370.0,0.8022601388358946,0.45228901849803566,0.9418691475289662,-1.4784093305535442e-19,-1.6247739359625775e-17,-1.8034999094660095e-36,0.7321394349542988,1.905115692042161,2.4321791594620024,2.7621063142587476,14.596660541783503,3.4104671719381834,-1.4463099334561322,2.381144344160962,1.5283983795961855,1.1000479248444464,2.6015427195952614,-2.1579839139895484e-18,-5.5412381704211626e-17,2.608419834047925e-36,1.743329674678631
380.0,0.8039059542638382,0.4533386324057423,0.9435490786012839,-1.4718567997502319e-19,-1.627447277729782e-17,-1.8104924793717106e-36,0.7335978884236214,1.8512911859598236,2.362477678071793,2.6835950959512442,14.26289590065676,3.3134693071207035,-1.3941461543771925,2.3134245466089713,1.4882640074692646,1.0710023996661602,2.5321036801237207,-2.099294031551136e-18,-5.3924966037147766e-17,2.5240911276448986e-36,1.697123362419715
390.0,0.8054316688054596,0.4543123718763101,0.9451065022947112,-1.4657729324612167e-19,-1.6299262454476592e-17,-1.816973146683259e-36,0.7349501809921601,1.8005042233888566,2.296778913152747,2.609545724174711,13.943155175271933,3.2219857357825545,-1.3457619311866926,2.2495569347310047,1.4501831213353649,1.0434550757099181,2.4662986319528803,-2.043749944902013e-18,-5.2515991132099735e-17,2.4452132907948246e-36,1.653312276332721
400.0,0.806848579538345,0.4552172901781896,0.9465529330468158,-1.4601147658662608e-19,-1.6322290417147813e-17,-1.8229902332454473e-36,0.7362062675877835,1.752499794060781,2.234740653448723,2.539581083686355,13.636620790602715,3.1355504775585668,-1.3007600951560037,2.1892154822811016,1.414001969479183,1.0172925845139644,2.4038479234735304,-1.9911031372877866e-18,-5.1179365512337447e-17,2.3712729492648134e-36,1.6117141591555593
410.0,0.808166698462748,0.4560596496789178,0.9478985766178234,-1.4548440687081393e-19,-1.6343718093063e-17,-1.8285865437974968e-36,0.7373749749198297,1.7070510295267838,2.1760591140803656,2.4733659140985442,13.34253470613646,3.053749226359704,-1.2587966350144768,2.132110410459776,1.379581794640096,0.9924127572481077,2.3445000294290517,-1.9411307478755125e-18,-4.990961648253224e-17,2.301818588165041e-36,1.572164860439085
420.0,0.8093949223029633,0.4568450245678186,0.9491525028531478,-1.4499267407939114e-19,-1.636368901710892e-17,-1.8338000976277457e-36,0.7384641499079766,1.6639553930830444,2.1204636518710758,2.4106011187249154,13.060193181542568,2.9762123347211604,-1.2195722127358524,2.0779832489842947,1.3467970461000474,0.968723269134208,2.2880280852183517,-1.893632333385288e-18,-4.870181309426075e-17,2.236451642779092e-36,1.5345161334842023
430.0,0.8105411769623271,0.4575783885561173,0.9503227926814404,-1.445332297735934e-19,-1.6382331135606883e-17,-1.8386647506463263e-36,0.7394807860666283,1.6230314753681605,2.0677123323134277,2.3510189806936794,12.788942111785971,2.902608914138095,-1.182825233130159,2.0266026863719864,1.315533842291811,0.9461404770175891,2.2342269233798913,-1.8484271088039462e-18,-4.7551500388574595e-17,2.1748190623314466e-36,1.4986337475630969
440.0,0.811612540819324,0.4582641899764841,0.9514166636008389,-1.441033427715456e-19,-1.6399758775290008e-17,-1.8432107260303657e-36,0.740431131465549,1.5841162859366966,2.0175881921263863,2.2943791217753153,12.528172849945882,2.832641849539195,-1.1483261487686778,1.9777610659223397,1.285688643782353,0.9245884185709174,2.1829105290748934,-1.8053515864969225e-18,-4.645464302923413e-17,2.1166070743915682e-36,1.4643958638093881
450.0,0.812615350298641,0.45890641628070244,0.9524405771413965,-1.4370056092440675e-19,-1.64160743309766e-17,-1.8474650683230785e-36,0.7413207812402467,1.5470629532625628,1.9698960731715875,2.240465072602948,12.277318451854672,2.766043566677521,-1.1158727535536557,1.9312714129473267,1.2571671036995076,0.9039979473846017,2.1339098468150928,-1.7642575481790853e-18,-4.540757679329781e-17,2.0615359328838665e-36,1.4316916326330673
460.0,0.8135552905432644,0.4595086495899237,0.9534003311748545,-1.4332267807102887e-19,-1.6431369716477018e-17,-1.851452033228298e-36,0.7421547571026808,1.5117387628697654,1.9244599282105546,2.189081348841705,12.03585028865607,2.7025724228906074,-1.0852862724669259,1.8869649014130054,1.229883068452027,0.8843059828019535,2.0870708829543787,-1.7250102962321535e-18,-4.4406966666070646e-17,2.0093554757936506e-36,1.400419978069453
470.0,0.8144374735217615,0.4600741146712135,0.954301139443547,-1.429677053996236e-19,-1.6445727615579345e-17,-1.855193423206094e-36,0.7429375758788407,1.478023476803055,1.8811205183099644,2.1400509481490446,11.803274982579323,2.642009616534142,-1.0564080963044362,1.844688685868372,1.20375770625333,0.8654548570513112,2.042253058285876,-1.687487140460148e-18,-4.344977051126173e-17,1.95984135248566e-36,1.3704885405301725
