Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
6.00E+16,220,95.540657,1064.13196,563.76825,574.480286,667.322754,608.328064,607.832642,627.82782,4.32E-04,3.91E-03,2.24E-03,2.20E-03,99.386322,1106.96497,586.460815,597.604065,4.25E-05,3.94E-04,2.08E-04,2.26E-04,4486.57275,29965.5703,35945.457,23465.8672,11453.2617,132459.859,55981.3906,66631.5078,0,0,0,0,113.200684,1241.02246,653.943848,669.388977
8.00E+16,220,126.535057,1408.91882,745.67395,760.375977,643.127991,584.091553,583.784485,603.667969,5.74E-04,5.19E-03,2.97E-03,2.91E-03,98.7212219,1099.22253,581.766357,593.236694,5.23E-05,4.81E-04,2.54E-04,2.77E-04,4480.40381,29943.166,35888.2422,23437.2715,9895.89062,112887.922,48758.5977,57180.8008,0,0,0,0,113.185776,1240.40869,653.476807,669.023743
1.00E+17,220,157.225677,1750.33386,925.878235,944.479248,624.221436,565.201721,565.199341,584.874146,7.11E-04,6.43E-03,3.70E-03,3.61E-03,98.1325455,1092.47241,577.887695,589.497559,6.13E-05,5.59E-04,2.96E-04,3.23E-04,4473.26025,29905.2578,35829.25,23402.5879,9065.62012,101315.602,44403.7812,51595,0,0,0,0,113.141563,1239.74146,653.110901,668.664612
2.00E+17,220,308.29776,3427.24463,1807.88916,1847.81055,566.267029,507.154968,507.698761,527.040222,1.40E-03,1.27E-02,7.26E-03,7.11E-03,96.2121582,1069.55896,564.197815,576.656311,9.89E-05,8.82E-04,4.66E-04,5.13E-04,4442.80273,29793.7754,35546.6406,23261.0723,12787.2529,73666.6484,39100.6328,41851.5117,0,0,0,0,113.067551,1236.68494,650.802979,666.851807
4.00E+17,220,602.47229,6680.45654,3512.76196,3598.56348,508.645081,449.514862,450.684906,469.61496,2.75E-03,2.49E-02,1.42E-02,1.39E-02,94.0084,1042.4032,548.123413,561.511658,1.56E-04,1.35E-03,7.14E-04,7.94E-04,4383.31201,29573.0312,34994.1094,22983.4844,4821.60547,64000.2383,24287.25,31036.3652,0,0,0,0,112.921982,1230.62024,646.286987,663.276428
6.00E+17,220,890.492004,9848.7666,5167.49609,5302.25146,475.096466,416.004974,417.605072,436.235504,4.08E-03,3.68E-02,2.10E-02,2.06E-02,92.6335678,1024.51953,537.549561,551.567566,2.01E-04,1.70E-03,9.01E-04,1.01E-03,4325.64941,29355.207,34457.8672,22712.9062,3785.9729,1897054.88,19808.4316,640216.438,0,0,0,0,112.779572,1224.6217,641.899719,659.767029
8.00E+17,220,1174.17517,12953.0479,6786.13672,6971.11963,451.23877,392.3284,394.262512,412.609863,5.38E-03,4.86E-02,2.77E-02,2.72E-02,91.6078186,1010.58209,529.446716,543.878906,2.39E-04,1.99E-03,1.05E-03,1.19E-03,4268.88428,29131.9473,33934.4375,22445.0879,3279.0166,1422052.62,17415.1172,480915.594,0,0,0,0,112.625023,1218.79749,637.674561,656.365662
1.00E+18,220,1455.50208,16007.1318,8376.31152,8612.98145,432.886505,374.07843,376.281769,394.415558,6.68E-03,6.02E-02,3.43E-02,3.37E-02,90.8452911,999.086548,522.808228,537.580017,2.73E-04,2.24E-03,1.19E-03,1.34E-03,4214.6377,28919.7637,33428.6211,22187.6738,3377.43066,1136627.75,16027.3242,385344.156,0,0,0,0,112.488518,1212.93616,633.529907,652.984863
2.00E+18,220,2832.29272,30708.5879,16007.9541,16516.2773,376.239166,318.0896,321.228882,338.519196,1.31E-02,0.117051855,6.63E-02,6.55E-02,88.3889084,958.339661,499.569,515.432495,4.01E-04,3.11E-03,1.65E-03,1.89E-03,3966.15527,27899.4688,31101.875,20989.166,2084.31689,563488.438,11512.1709,192361.641,0,0,0,0,111.846519,1184.68762,614.431396,636.988525
4.00E+18,220,5507.14648,58100.9961,30180.2812,31262.8066,320.486816,263.865356,268.139404,284.163849,2.54E-02,0.225097924,0.12701349,0.125833437,85.9322662,906.594788,470.92627,487.81778,5.66E-04,4.05E-03,2.17E-03,2.52E-03,3561.2251,26040.2832,27270.2656,18957.2578,1472.42688,275105,8573.3418,95050.2578,0,0,0,0,110.722366,1133.50903,582.917175,609.049561
6.00E+18,220,8122.39453,83465.8984,43324.1211,44970.8086,288.72345,233.457687,238.546646,253.575928,3.74E-02,0.327667326,0.184467137,0.183185056,84.4933319,868.255249,450.67984,467.809479,6.77E-04,4.55E-03,2.47E-03,2.89E-03,3247.79175,24398.2227,24254.6035,17300.2051,1222.25098,176153.766,7151.00244,61509.0039,0,0,0,0,109.782639,1089.04663,557.917053,585.582092
8.00E+18,220,10694.4834,107258.008,55688.7891,57880.4258,266.637115,212.670029,218.423584,232.576904,4.91E-02,0.424753547,0.239051342,0.23762767,83.437149,836.814758,434.4776,451.576508,7.60E-04,4.85E-03,2.66E-03,3.13E-03,2999.073,22933.207,21825.9629,15919.4141,1084.13586,129073.812,6447.9458,45535.2969,0,0,0,0,108.965561,1050.42651,537.543579,565.645203
1.00E+19,220,13235.6611,129793.688,67437.9922,70155.7812,249.953537,197.183548,203.44957,216.862228,6.06E-02,0.51874274,0.291634917,0.290330559,82.6104965,810.108459,420.914825,437.87793,8.27E-04,5.05E-03,2.79E-03,3.30E-03,2798.45435,21624.8203,19835.1719,14752.8154,992.74646,98697.4922,5861.42432,35183.8867,0,0,0,0,108.269501,1016.89429,520.585938,548.583252
