Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
6.00E+16,220,83.6762238,1482.46375,1319.71106,961.950378,551.165771,519.640686,506.234589,525.680359,3.48E-04,5.08E-03,3.82E-03,3.08E-03,87.0443268,1542.13525,1372.83154,1000.67041,2.54E-05,4.00E-04,3.38E-04,2.66E-04,17264.7812,31019.166,69830.125,39371.3555,3366.39697,79875.0938,81330.9375,54857.4805,0,0,0,0,100.303078,1803.97095,1589.43823,1164.5708
8.00E+16,220,110.416931,1953.43091,1735.84094,1266.56299,526.991699,495.645447,482.314575,501.650543,4.61E-04,6.73E-03,5.05E-03,4.08E-03,86.1460419,1524.04468,1354.28345,988.15802,3.07E-05,4.80E-04,4.04E-04,3.19E-04,17158.5781,30983.9062,69560.8359,39234.4414,2941.40552,69781.3438,70594.5625,47772.4375,0,0,0,0,100.204216,1800.94666,1586.17749,1162.44275
1.00E+17,220,136.817932,2417.62061,2145.01758,1566.48535,508.292511,477.092621,463.825104,483.070068,5.73E-04,8.36E-03,6.28E-03,5.07E-03,85.3950348,1508.95996,1338.81458,977.723145,3.53E-05,5.50E-04,4.61E-04,3.66E-04,17053.3105,30948.7031,69293.5469,39098.5195,2651.90137,62885.9531,63296.5898,42944.8125,0,0,0,0,100.105927,1797.93433,1582.93213,1160.3241
2.00E+17,220,265.173065,4665.72803,4115.87109,3015.59058,450.554718,419.84082,406.800232,425.731934,1.13E-03,1.64E-02,1.23E-02,9.93E-03,82.7540131,1456.0592,1284.4624,941.091858,5.38E-05,8.22E-04,6.81E-04,5.47E-04,16540.6367,30773.5801,67986.3203,38433.5117,1935.10559,58512.5781,45204.8164,35217.5,0,0,0,0,99.6229935,1783.05127,1566.93518,1149.86975
4.00E+17,220,510.341522,8929.14062,7817.22266,5752.23486,393.456116,363.259247,350.518097,369.077789,2.19E-03,3.20E-02,2.38E-02,1.93E-02,79.6325302,1393.28271,1219.78162,897.565613,7.90E-05,1.18E-03,9.60E-04,7.84E-04,15579.1533,30424.0566,65508.5625,37170.5898,1439.2583,40407.1562,36630.4961,26158.9688,0,0,0,0,98.6946335,1754.12158,1536.02722,1129.61438
6.00E+17,220,745.815002,12991.0195,11310.2051,8349.0127,360.57489,330.667114,318.088867,336.443634,3.24E-03,4.72E-02,3.50E-02,2.85E-02,77.5835114,1351.39282,1176.54578,868.507324,9.70E-05,1.42E-03,1.14E-03,9.45E-04,14695.667,30084.1211,63199.918,35993.2344,1211.98682,32540.4004,27936.3867,20562.9238,0,0,0,0,97.8178024,1726.375,1506.57617,1110.25635
8.00E+17,220,974.387634,16904.0605,14651.082,10843.1768,337.544189,307.844849,295.367676,313.585571,4.27E-03,6.22E-02,4.60E-02,3.75E-02,76.0206146,1318.83557,1143.06079,845.972351,1.11E-04,1.60E-03,1.28E-03,1.07E-03,13881.6514,29750.1074,61042.707,34891.4883,1077.39197,28258.2188,24221.3867,17852.334,0,0,0,0,96.9853516,1699.73071,1478.47668,1091.73096
1.00E+18,220,1197.48865,20695.0742,17868.7969,13253.7861,319.894318,290.367493,277.949158,296.070343,5.28E-03,7.70E-02,5.67E-02,4.63E-02,74.7413635,1291.68494,1115.28259,827.236328,1.23E-04,1.74E-03,1.38E-03,1.16E-03,13129.9736,29421.9863,59022.5078,33858.1562,989.443909,25329.9297,21225.791,15848.3877,0,0,0,0,96.1932983,1674.14917,1451.65808,1074.00012
2.00E+18,220,2254.00464,38261.6133,32592.7012,24369.4395,266.569031,237.763351,225.412186,243.248184,1.02E-02,0.147408471,0.107764199,8.84E-02,70.3419495,1194.05103,1017.13818,760.510437,1.60E-04,2.16E-03,1.66E-03,1.44E-03,10114.5381,27862.1172,50584.9297,29520.5293,751.407959,18274.1699,14901.1133,11308.8975,0,0,0,0,92.7223206,1560.59045,1334.51099,995.941223
4.00E+18,220,4182.19971,68811.5859,57577.8516,43523.8789,216.819244,189.706192,176.634262,194.386581,1.95E-02,0.278133452,0.200405791,0.166010633,65.2580872,1073.72034,898.431763,679.136719,1.97E-04,2.48E-03,1.80E-03,1.64E-03,6441.14893,25153.3535,39213.2148,23602.5723,577.670349,13415.498,10483.2021,8158.79053,0,0,0,0,87.5387115,1392.43262,1164.67358,881.54834
6.00E+18,220,5957.20508,95664.8828,78878.1406,60166.7383,190.11853,164.61377,150.610321,168.44754,2.85E-02,0.397026569,0.282886952,0.236130357,61.9699173,995.155396,820.531067,625.885498,2.15E-04,2.59E-03,1.79E-03,1.71E-03,4420.41943,22903.5449,31984.3477,19769.4375,496.380066,11256.8936,8481.93164,6745.06836,0,0,0,0,83.8062744,1278.87476,1050.74316,804.474792
8.00E+18,220,7624.71973,120389.672,97844.875,75286.4219,172.861282,148.276184,133.392471,151.509964,3.72E-02,0.507129788,0.357375026,0.300562322,59.4871941,939.266541,763.374573,587.376099,2.28E-04,2.65E-03,1.74E-03,1.73E-03,1475.75781,21021.5039,23616.2793,15371.1797,442.685883,9958.29297,7256.11719,5885.69873,0,0,0,0,80.9522781,1200.47156,970.666016,750.696594
