T [K],k_xx [W/m.K],k_yy [W/m.K],k_zz [W/m.K],k_yz [W/m.K],k_xz [W/m.K],k_xy [W/m.K],k_iso [W/m.K]
600.0,0.9431511603940558,0.6775280777009683,1.596809911431177,3.4299758015870005e-19,-3.245836445112686e-17,5.758877659635797e-36,1.0724963831754002
610.0,0.9277060680918493,0.6664098594652935,1.5704892847485448,3.3738818937225747e-19,-3.1922145458866243e-17,5.66306007366949e-36,1.0548684041018959
620.0,0.9127584988028439,0.6556508839119789,1.5450245136628205,3.3195915159946833e-19,-3.140341841680413e-17,5.570399250021393e-36,1.0378112987925479
630.0,0.8982847995860419,0.645234003081013,1.520374419205481,3.267019122601532e-19,-3.0901338296723735e-17,5.480740835557435e-36,1.0212977406241786
640.0,0.8842627933107035,0.6351431442995087,1.4965004286314416,3.216084491504767e-19,-3.0415113807660433e-17,5.393940427212949e-36,1.0053021220805511
650.0,0.8706716653126308,0.6253632271081803,1.4733663719872983,3.166712316684656e-19,-2.99440031789034e-17,5.309862779738516e-36,0.9898004214693698
660.0,0.8574918603408588,0.6158800877816685,1.4509382974815135,3.118831837311567e-19,-2.9487310335013643e-17,5.228381088201278e-36,0.9747700818680136
670.0,0.8447049887205816,0.6066804106439052,1.429184303655912,3.0723764999897654e-19,-2.904438142089026e-17,5.14937633711905e-36,0.9601899010067996
680.0,0.8322937407844866,0.597751665474459,1.4080743865980136,3.02728365068185e-19,-2.861460163998537e-17,5.0727367090997824e-36,0.9460399309523199
690.0,0.8202418087344974,0.5890820503840709,1.3875803006417695,2.983494253313299e-19,-2.8197392373156635e-17,4.998357046718394e-36,0.9323013865867793
700.0,0.8085338151916867,0.580660439609208,1.3676754311850594,2.940952632399219e-19,-2.779220854945499e-17,4.926138362108638e-36,0.918956561995318
710.0,0.7971552477756667,0.5724763357378787,1.3483346784097296,2.899606237333706e-19,-2.7398536243459462e-17,4.85598738939278e-36,0.905988753974425
720.0,0.7860923991279354,0.5645198259335436,1.3295343508272472,2.859405426243245e-19,-2.701589047665839e-17,4.787816175636081e-36,0.8933821919629087
730.0,0.7753323118577627,0.5567815417717221,1.3112520676931554,2.820303267535449e-19,-2.664381320289991e-17,4.721541706501616e-36,0.8811219737742135
740.0,0.764862727945523,0.5492526223458418,1.29346666943868,2.7822553574755486e-19,-2.6281871460143505e-17,4.6570855632115564e-36,0.8691940065766817
750.0,0.75467204218796,0.5419246803357236,1.2761581353602274,2.7452196522998282e-19,-2.592965567268127e-17,4.594373607793431e-36,0.8575849526279704
760.0,0.7447492593135624,0.5347897707645629,1.2593075078886498,2.7091563135326985e-19,-2.558677808970028e-17,4.5333356939223715e-36,0.8462821793222584
770.0,0.7350839544348154,0.5278403621989033,1.2428968228317971,2.67402756531096e-19,-2.5252871347556195e-17,4.4739054009559666e-36,0.8352737131551718
780.0,0.7256662365382629,0.5210693101714308,1.2269090450469737,2.639797562641974e-19,-2.4927587144450165e-17,4.4160197890162274e-36,0.8245481972522225
790.0,0.7164867147435342,0.5144698326288061,1.211328009055781,2.6064322696304603e-19,-2.4610595017369498e-17,4.359619173194887e-36,0.814094852142707
800.0,0.7075364670893735,0.5080354872266453,1.1961383641632892,2.5738993468048197e-19,-2.4301581212186e-17,4.304646915159276e-36,0.8039034394931027
810.0,0.6988070116285762,0.5017601503114056,1.1813255236873612,2.542168046759281e-19,-2.4000247638722787e-17,4.2510492306100775e-36,0.7939642285424476
820.0,0.6902902796349797,0.4956379974446408,1.1668756179429445,2.5112091174047913e-19,-2.3706310903414195e-17,4.1987750111984896e-36,0.7842679650075217
830.0,0.6819785907446143,0.48966348533908766,1.152775450660816,2.4809947121891442e-19,-2.341950141290728e-17,4.1477756596487166e-36,0.7748058422481726
840.0,0.6738646298700587,0.4838313350885186,1.1390124585512542,2.451498306707589e-19,-2.3139562542597987e-17,4.0980049369548993e-36,0.7655694745032772
850.0,0.6659414257421435,0.47813651658446954,1.1255746737506298,2.422694621179551e-19,-2.2866249864671035e-17,4.0494188206305536e-36,0.7565508720257476
860.0,0.6582023309467342,0.47257423402292303,1.11245068891367,2.394559548315702e-19,-2.2599330430725194e-17,4.001975373087636e-36,0.7477424179611091
870.0,0.6506410033364414,0.46713991241297653,1.099629624736177,2.3670700861428045e-19,-2.23385821045269e-17,3.9556346193075586e-36,0.7391368468285316
880.0,0.643251388708038,0.461829185007557,1.0871010997127957,2.340204275393952e-19,-2.2083792940845544e-17,3.910358433047359e-36,0.7307272244761304
890.0,0.6360277046461686,0.4566378815834498,1.0748552019522277,2.3139411411057784e-19,-2.183476060669446e-17,3.866110430892028e-36,0.7225069293939487
900.0,0.6289644254427378,0.4515620175043938,1.062882462888203,2.288260638096642e-19,-2.1591291841633043e-17,3.822855873527537e-36,0.7144696352784449
910.0,0.6220562680093591,0.44659778350685475,1.0511738327389502,2.2631436000285696e-19,-2.13532019540837e-17,3.780561573666108e-36,0.7066092947517214
920.0,0.6152981787073823,0.44174153615333095,1.0397206575808022,2.2385716917806156e-19,-2.1120314350886744e-17,3.7391958101051885e-36,0.6989201241471719
930.0,0.6086853210265408,0.4369897889028316,1.0285146579133027,2.2145273648856225e-19,-2.0892460097558616e-17,3.698728247447953e-36,0.6913965892808918
940.0,0.6022130640490844,0.43233920375244433,1.0175479086036863,2.1909938158028726e-19,-2.066947750693706e-17,3.659129861053374e-36,0.6840333921350717
950.0,0.5958769716416028,0.42778658340781894,1.0068128201081776,2.1679549468181737e-19,-2.0451211754095704e-17,3.620372866823206e-36,0.6768254583858665
960.0,0.5896727923215448,0.4233288639439039,0.9963021208761556,2.1453953293806987e-19,-2.0237514515588317e-17,3.5824306554633745e-36,0.6697679257138681
970.0,0.583596449749796,0.41896310792048086,0.9860088408510903,2.1233001697008024e-19,-2.0028243631246162e-17,3.545277730892039e-36,0.6628561328404557
980.0,0.5776440338046562,0.4146864979199372,0.9759262959892179,2.101655276448427e-19,-1.982326278689798e-17,3.508889652490184e-36,0.6560856092379371
990.0,0.5718117921961584,0.4104963304773599,0.9660480737233977,2.0804470304034306e-19,-1.962244121651625e-17,3.47324298091805e-36,0.6494520654656387
1000.0,0.5660961225829431,0.40639001037543016,0.9563680193054402,2.0596623559218928e-19,-1.942565342241409e-17,3.438315227243049e-36,0.6429513840879378
