T [K],k_xx [W/m.K],k_yy [W/m.K],k_zz [W/m.K],k_yz [W/m.K],k_xz [W/m.K],k_xy [W/m.K],k_iso [W/m.K]
390.0,1.2527276570496404,0.7230508975549504,1.6670255496638366,-1.7880223695817718e-18,0.0,0.0,1.2142680347561425
400.0,1.221640653670479,0.7051712957188305,1.6254834048926665,-1.742939516910888e-18,0.0,0.0,1.1840984514273254
410.0,1.192054360322337,0.6881504921162392,1.585958874516687,-1.7000828009895656e-18,0.0,0.0,1.1553879089850876
420.0,1.1638629658164,0.6719283194217123,1.5483085911523942,-1.6592907327384575e-18,0.0,0.0,1.1280332921301688
430.0,1.1369703546817653,0.6564500821533856,1.5124024480461604,-1.6204171237862433e-18,0.0,0.0,1.1019409616271039
440.0,1.1112890236063788,0.641665950364152,1.4781221010047643,-1.5833293110466552e-18,0.0,0.0,1.0770256916584318
450.0,1.0867391398003825,0.6275304320050736,1.445359668932742,-1.5479066235416667e-18,0.0,0.0,1.0532097469127326
460.0,1.0632477200805854,0.6140019123254047,1.4140166029108179,-1.5140390536775348e-18,0.0,0.0,1.030422078438936
470.0,1.0407479130167347,0.6010422505973574,1.3840026988447638,-1.4816261017858697e-18,0.0,0.0,1.0085976208196186
480.0,1.0191783693701997,0.5886164260270992,1.355235232856934,-1.4505757680737323e-18,0.0,0.0,0.9876766760847442
490.0,0.9984826884243664,0.5766922260059583,1.3276382019773882,-1.4208036704529733e-18,0.0,0.0,0.9676043721359043
500.0,0.9786089297558637,0.5652399709220247,1.301141655469251,-1.392232270246146e-18,0.0,0.0,0.9483301853823797
510.0,0.959509181607442,0.5542322706354952,1.2756811044124652,-1.3647901906552357e-18,0.0,0.0,0.9298075188851342
520.0,0.9411391783608369,0.5436438084554202,1.251196999064963,-1.3384116152563929e-18,0.0,0.0,0.9119933286270734
530.0,0.9234579607221164,0.5334511490683584,1.2276342650946632,-1.313035755747506e-18,0.0,0.0,0.8948477916283794
540.0,0.9064275731635065,0.5236325673827281,1.2049418910889553,-1.2886063798045439e-18,0.0,0.0,0.8783340105450633
550.0,0.8900127939471896,0.5141678956839849,1.1830725608474575,-1.2650713912591746e-18,0.0,0.0,0.862417750159544
560.0,0.8741808937144537,0.5050383868594739,1.161982324887235,-1.2423824559441945e-18,0.0,0.0,0.8470672018203875
570.0,0.8589014191791524,0.49622659175939887,1.141630306367817,-1.2204946675045184e-18,0.0,0.0,0.8322527724354561
580.0,0.8441459989350606,0.4877162490213527,1.1219784373013122,-1.1993662482722098e-18,0.0,0.0,0.8179468950859086
590.0,0.8298881687866794,0.4794921859078941,1.1029912214710138,-1.1789582809802383e-18,0.0,0.0,0.8041238587218625
600.0,0.8161032143537469,0.4715402288961364,1.08463552095653,-1.1592344676626558e-18,0.0,0.0,0.790759654735471
610.0,0.8027680289909818,0.46384712292042585,1.0668803635685076,-1.1401609125755214e-18,0.0,0.0,0.7778318384933051
620.0,0.7898609853140223,0.4564004583082616,1.0496967688424303,-1.12170592638814e-18,0.0,0.0,0.7653194041549046
630.0,0.7773618188369054,0.44918860456920096,1.0330575905381567,-1.1038398492485695e-18,0.0,0.0,0.7532026713147543
640.0,0.7652515224109756,0.4422006502996184,1.0169373738474232,-1.0865348906314935e-18,0.0,0.0,0.7414631821860057
650.0,0.7535122503144847,0.43542634855530177,1.0013122257318574,-1.0697649841376955e-18,0.0,0.0,0.7300836082005479
660.0,0.7421272309800074,0.428856067121045,0.9861596970044562,-1.0535056556393743e-18,0.0,0.0,0.7190476650351695
