Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
8.00E+16,220,595.706909,1201.09473,328.52002,708.440613,-624.405518,-520.305786,-558.524292,-567.745178,2.30E-03,4.01E-03,1.28E-03,2.53E-03,464.763794,937.080566,256.307617,552.717346,2.32E-04,3.25E-04,1.02E-04,2.28E-04,9325.85938,188340.953,5716.54297,67794.4531,92179.2031,70821.4922,18023.2148,60341.3008,0,0,0,0,512.17627,1106.14246,292.438568,636.919128
1.00E+17,220,742.805664,1484.60681,407.574036,878.328857,-605.380371,-502.000031,-540.017029,-549.132507,2.87E-03,4.98E-03,1.59E-03,3.14E-03,463.622833,926.618713,254.387695,548.209778,2.72E-04,3.74E-04,1.19E-04,2.65E-04,9322.56934,187691.016,5712.64111,67575.4062,79337.7578,62759.1641,16073.5166,52723.4805,0,0,0,0,512.384216,1104.01868,292.202301,636.201721
2.00E+17,220,1471.9707,2854.15576,793.364563,1706.49707,-546.375,-445.507751,-482.897125,-491.593292,5.69E-03,9.71E-03,3.11E-03,6.17E-03,459.365936,890.711975,247.589615,532.555847,4.39E-04,5.66E-04,1.85E-04,4.12E-04,9306.29297,184483.594,5693.19775,66494.3672,49137.8047,42900.0938,11236.3584,34424.7539,0,0,0,0,513.421448,1093.56506,291.034454,632.673645
4.00E+17,220,2908.89771,5442.33838,1535.0188,3295.41821,-487.504486,-389.684967,-426.396088,-434.528534,1.13E-02,1.88E-02,6.07E-03,1.21E-02,453.897766,849.210022,239.520828,514.209534,6.91E-04,8.26E-04,2.79E-04,6.22E-04,9274.60938,178275.062,5654.6333,64401.4375,29957.291,29129.2285,7829.89795,22305.4707,0,0,0,0,515.482971,1073.4585,288.764801,625.902039
6.00E+17,220,4325.6416,7901.26367,2251.88574,4826.26367,-452.967743,-357.464264,-393.705872,-401.379303,1.67E-02,2.77E-02,8.95E-03,1.78E-02,449.975525,821.930176,234.252747,502.052826,8.88E-04,1.01E-03,3.49E-04,7.78E-04,9236.21777,172329.953,5614.31738,62393.4961,22414.9375,23248.0527,6386.14355,17349.7129,0,0,0,0,517.42334,1054.4104,286.622803,619.485535
8.00E+17,220,5730.72852,10265.8867,2951.29541,6315.97021,-428.586243,-334.848419,-370.656403,-378.030365,2.22E-02,3.63E-02,1.18E-02,2.34E-02,447.10495,800.9328,230.256729,492.764801,1.05E-03,1.15E-03,4.05E-04,9.03E-04,9206.58398,166638.516,5576.58301,60473.8906,18215.9766,19775.707,5496.521,14496.0674,0,0,0,0,519.447205,1036.27161,284.518921,613.412537
1.00E+18,220,7126.67188,12554.4375,3637.27539,7772.79492,-409.677429,-317.49176,-352.885895,-360.018341,2.77E-02,4.47E-02,1.46E-02,2.90E-02,444.811829,783.586304,227.020859,485.139679,1.20E-03,1.27E-03,4.53E-04,1.01E-03,9177.91699,161187.891,5539.26709,58635.0273,15529.0771,17452.2285,4895.61768,12625.6406,0,0,0,0,521.451538,1019.0296,282.491913,607.657715
2.00E+18,220,14034.5791,23393.6016,6927.53564,14785.2383,-350.888519,-263.602661,-298.482117,-304.324432,5.51E-02,8.60E-02,2.82E-02,5.64E-02,437.984772,730.056885,216.191376,461.411011,1.73E-03,1.63E-03,6.17E-04,1.37E-03,9040.00098,136669.734,5357.59668,50355.7773,9626.09375,12004.709,3442.89307,8357.89844,0,0,0,0,531.21698,944.616638,273.420197,583.084595
4.00E+18,220,27782.8379,41934.6328,13062.6299,27593.3672,-291.983826,-214.888184,-245.866974,-250.91301,0.110899054,0.158949748,5.42E-02,0.108025134,433.51709,654.338501,203.826309,430.560638,2.37E-03,1.94E-03,7.90E-04,1.74E-03,8822.4248,101477.398,5025.85791,38441.8945,6243.21631,8223.6084,2456.71753,5641.18018,0,0,0,0,548.812012,838.976807,259.260071,549.016296
6.00E+18,220,41612.6992,58295.5703,18789.8125,39566.0273,-257.686493,-188.325729,-216.396042,-220.80275,0.16855447,0.22497645,7.90E-02,0.157499313,432.87674,606.420532,195.461304,411.586182,2.76E-03,2.07E-03,8.80E-04,1.93E-03,8628.88672,77761.3125,4725.67285,30371.959,5047.65967,6591.13184,2041.64148,4560.14404,0,0,0,0,564.080139,769.950684,248.855194,527.628662
