Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
6.00E+16,220,590.536133,1432.47534,580.729797,867.913757,-671.183472,-530.26593,-538.395874,-579.948425,2.96E-03,5.32E-03,2.49E-03,3.59E-03,614.306091,1490.13452,604.10498,902.848572,2.66E-04,4.03E-04,1.68E-04,2.92E-04,17648.0371,66483.0547,21644.7344,35258.6094,206649.797,143842.625,46592.4492,132361.625,0,0,0,0,676.270203,1579.67188,662.381042,972.774414
8.00E+16,220,786.260132,1903.04846,768.720154,1152.67627,-646.626526,-505.71756,-514.358032,-555.567383,3.94E-03,7.07E-03,3.30E-03,4.77E-03,613.431213,1484.73682,599.746765,899.304932,3.29E-04,4.87E-04,2.03E-04,3.56E-04,17614.1875,66344.8125,21590.9141,35183.3047,170574.094,124011.625,40461.457,111682.398,0,0,0,0,676.766541,1578.47766,661.244446,972.162842
1.00E+17,220,981.680786,2371.02979,954.854858,1435.8551,-627.598145,-486.712555,-495.792358,-536.700989,4.91E-03,8.82E-03,4.10E-03,5.95E-03,612.71698,1479.88037,595.973511,896.190247,3.87E-04,5.62E-04,2.35E-04,4.14E-04,17580.6289,66207.0312,21537.3789,35108.3438,146687.766,110475.062,36271.043,97811.2891,0,0,0,0,677.262817,1577.28406,660.117493,971.554749
2.00E+17,220,1954.63342,4682.31348,1864.38367,2833.77661,-568.349487,-428.336395,-438.753021,-478.479645,9.69E-03,1.77E-02,8.05E-03,1.18E-02,609.993103,1461.23511,581.828369,884.352234,6.31E-04,8.59E-04,3.59E-04,6.49E-04,17398.8809,65527.6484,21268.3086,34731.6133,91510.5859,77714.7109,26081.8125,65102.3711,0,0,0,0,679.769592,1573.08521,655.110352,969.321716
4.00E+17,220,3896.85669,9168.46973,3606.77832,5557.36865,-509.563324,-370.269928,-382.797241,-420.876831,1.91E-02,3.49E-02,1.56E-02,2.32E-02,608.056641,1430.62708,562.793457,867.158997,1.01E-03,1.26E-03,5.29E-04,9.84E-04,17091.7832,64197.6953,20761.4609,34016.9805,56127.0195,53727.6016,18584.9805,42813.2031,0,0,0,0,684.72644,1561.23755,644.790649,963.584778
6.00E+17,220,5840.57422,13509.8496,5276.98438,8209.13574,-475.260406,-336.819122,-350.821259,-387.633575,2.85E-02,5.18E-02,2.30E-02,3.44E-02,607.566589,1405.36414,548.939087,853.956543,1.32E-03,1.53E-03,6.49E-04,1.23E-03,16809.3242,62911.0469,20279.7461,33333.375,42131.5508,43093.4492,15242.0703,33489.0234,0,0,0,0,689.668701,1549.44653,635.271301,958.128845
8.00E+17,220,7788.83008,17730.4941,6893.23242,10804.1855,-450.850067,-313.518463,-328.625671,-364.33139,3.77E-02,6.86E-02,3.01E-02,4.54E-02,607.675659,1383.31299,537.802185,842.930237,1.58E-03,1.74E-03,7.44E-04,1.43E-03,16540.6836,61660.1133,19817.8398,32672.8809,34594.0977,37022.8984,13352.7197,28323.2402,0,0,0,0,694.724121,1538.40405,626.774719,953.300964
1.00E+18,220,9746.91992,21835.4375,8463.19727,13348.5186,-432.001678,-295.629547,-311.670013,-346.433746,4.69E-02,8.50E-02,3.70E-02,5.63E-02,608.354919,1362.86096,528.231201,833.148987,1.82E-03,1.91E-03,8.22E-04,1.60E-03,16300.2002,60454.0312,19380.8105,32045.0156,29639.7168,32716.0566,11973.0352,24776.2715,0,0,0,0,699.618713,1526.74133,618.610352,948.323486
2.00E+18,220,19704.2422,40927.9492,15810.4854,25480.8926,-373.371521,-242.082901,-261.016937,-292.157104,9.26E-02,0.163563311,6.96E-02,0.108588904,614.921021,1277.26074,493.406403,795.196045,2.75E-03,2.40E-03,1.08E-03,2.17E-03,15335.8682,54958.8008,17469.2773,29254.6504,18707.1914,22175.6602,8545.92383,16476.2578,0,0,0,0,723.531921,1469.51941,585.253723,926.101624
4.00E+18,220,40525.5977,73615.1562,28884.459,47675.0664,-314.097687,-193.412369,-214.053497,-240.521194,0.184393659,0.306205273,0.127889022,0.206162646,632.352234,1148.67407,450.706543,743.91095,4.00E-03,2.75E-03,1.32E-03,2.76E-03,14142.0254,46150.9609,14627.7617,24973.584,12449.5127,14997.876,6140.68799,11196.0264,0,0,0,0,767.808105,1363.06494,541.137695,890.670227
